threads	Pico-CAS	Pico-HTM	HST	HST-HTM
1	1	1.019211685	0.94205578	0.958457276
2	1.920442925	1.944128956	1.800602657	1.822823073
4	3.419927159	3.434221526	3.141416555	3.203265107
8	5.828766516	5.878286532	5.255957141	5.305165456
16	9.173900907 -	7.921306339	7.990639436
32	9.691978767	-	8.196907345	8.45958816
