threads	Pico-CAS	pico-HTM	HST	HST-HTM
1	1	1.000583757	0.955395337	0.972775203
2	1.800072084	1.766643491	1.642742507	1.729804132
4	2.879653654	2.899049239	2.508273659	2.786657047
8	4.251643868	4.234056859	3.317372881	4.006542185
16	5.96378572	-	3.522888138	5.117807106
32	5.922087746	-	1.997689719	5.000397031
