threads	Pico-CAS	pico-HTM	HST	HST-HTM
1	1	1.01101952	1.015668993	1.018408307
2	1.990010696	2.015619973	1.670961245	2.029142706
4	3.73870736	3.824740855	1.726500197	3.874656065
8	7.18136521	7.364142299	1.050148976	7.345991864
16	13.41617866	-	0.243086437	13.81899617
32	15.20424942	-	0.112167095	15.59903455
