threads	PICO-CAS	PICO-HTM	HST	HST-HTM
1	1	1.002793961	1.070073974	1.007216103
2	1.781858903	1.821405002	1.145935357	1.732201176
4	3.067905757	2.988611329	0.486281317	2.84244373
8	4.639337571	-	0.101430171	3.462140992
16	6.726980638	-	0.01808218	1.841666667
32	6.298290057	-	0.005282677	0.333962977
