threads	QEMU4.2	pico-HTM	HST	HST-HTM
1	1	0.989557756	0.90068955	0.930309537
2	1.846974734	1.828831484	1.445959234	1.711116763
4	3.239884991	3.119610018	1.769207612	2.916112453
8	5.218651807	4.951610247	1.651533842	4.420415406
16	7.007623082		1.101978126	4.913433828
32	7.170723075		0.707935911	3.948405495
