	native	instrument	exclusive	mprotect
1	32.08933333	0.012666667	0.1151905	0
2	16.86066667	0.048666667	0.462962167	0
4	9.404	0.033333333	1.396324667	0
8	5.665	0.071	2.5355185	0
16	3.771	0.047333333	5.160369167	0
32	2.938666667	0.004333333	7.299561167	0
64	2.77	0.144666667	16.605634	0
