canneal	Pico-CAS	Pico-ST	HST	HST-v2	PST
1	1.0	0.360771225	0.7901683709999999	0.988633173	0.425573449
2	1.131386008	0.364590491	0.79327824	1.112761434	0.404696893
4	1.216692495	0.317483607	0.7421276	1.189138021	0.381574583
8	1.264695959	0.27744642	0.657131951	1.234570393	0.353987881
16	1.296140547	0.224886346	0.5207378229999999	1.265053945	0.30194185100000004
32	1.313576758	0.174606156	0.415635468	1.278119982	0.268447243
64	1.313636158	0.151538744	0.413508536	1.278077807	0.263736189
