fluidanimate	PICO-CAS	PICO-ST	HST	HST-WEAK	PST
1	1.0	0.7696863829999999	0.959068106	1.001918636	0.941630213
2	1.747258194	0.411270974	0.677575539	1.718717621	0.323522157
4	2.8535721510000003	0.091820072	0.17436173300000002	2.491297818	0.101238965
8	4.040260764	0.043976317	0.08622294900000001	1.854587307	0.043585784
16	5.305051265	0.024945165	0.062484074	1.4277251780000002	0.025929996
32	6.0209245220000005	0.012738799	0.04092075	0.912264243	0.014147666
64	5.771978302999999	0.009486634	0.028648058	0.635491904	0.009156413
