facesim	Pico-CAS	Pico-ST	HST	HST-v2	PST
1	1.0	0.539107036	0.8903500109999999	0.984728209	0.506767385
2	1.7062623680000002	0.8013101429999999	1.411710887	1.670040255	0.64288612
4	2.572268367	1.035028156	1.953034441	2.498465996	0.723453784
8	3.531884989	1.144874807	2.406089704	3.396316033	0.759350394
16	4.510770335	0.954961509	2.174448359	4.327764793	0.668615347
32	4.590823677	0.630111764	1.44014344	4.5030335610000005	0.520469394
64	5.108974731	0.339123494	0.703619258	4.695979497	0.348133972
