swaptions	Pico-CAS	Pico-ST	HST	HST-v2	PST
1	1.0	0.666082752	0.947584749	0.996460397	0.816925096
2	1.995582944	0.6202109370000001	0.986908051	1.975573632	0.531691221
4	3.975070956	0.235875815	0.522091647	3.892398907	0.357157126
8	7.881541925	0.136427174	0.297515658	7.610995381	0.248804947
16	15.4444036	0.08917482	0.17594517699999998	14.70393701	0.173430554
32	29.66219555	0.07580200200000001	0.148002487	20.64439258	0.149592254
64	35.04295246	0.07304498799999999	0.154592776	19.22072278	0.132638936
