blackschles	Pico-CAS	Pico-ST	HST	HST-WEAK	PST
1	1.0	0.780185005	0.993336433	1.002188868	0.943003657
2	1.87348643	1.380275624	1.814733028	1.874817198	1.711223828
4	3.33481977	2.235786536	3.1956413360000004	3.328388102	2.87646644
8	5.416465476	3.2178714860000004	5.04242288	5.416465476	4.328574185
16	7.927561837000001	4.011981402	7.366001806	7.849895032	5.644025157000001
32	10.04927212	4.4901431	8.376738542	10.02233639	6.351026185
64	9.968895801	4.1561689510000015	8.450094162000001	9.874559859	5.858467162999999
