x264	Pico-CAS	Pico-ST	HST	HST-WEAK	PST
1	1.0	0.352326373	0.939706205	0.997125147	1.000782378
2	1.926815099	0.683936643	1.791307581	1.929846003	1.905422297
4	3.781208646	1.305818021	3.429566085	3.767223912	3.555390367
8	6.267866978	2.022119285	5.246584979	6.29398583	5.1297028860000005
16	6.4282903839999985	2.0437582830000003	5.375585879	6.45425121	5.16862696
32	6.936076754	2.169420442	5.62172567	7.020549694	5.390358435
64	8.202768871	2.442716564	6.11840172	8.19096076	5.862472022
